imaginaryid,poet_name,city_name,referent,referentid,source_translation
417,Stesichorus,Corinth,Polynices,6,"(and with) their dear Polynices (went the best leaders) of the Thebans. Making his way he began his journey along the road, passing the great wall . . . (and with) him . . . many . . . the men came to the furthest point (of Athens) under the escort (of the gods); and (soon) they reached the Isthmus of the sea-god, (the earth-shaker,) . . . (and were accomplishing their journey?) with prayers; and (then they departed for) the fair towns of Corinth, and quickly came to (well-built) Cleonae. . ."
423,Stesichorus,Isthmus,Polynices,6,"(and with) their dear Polynices (went the best leaders) of the Thebans. Making his way he began his journey along the road, passing the great wall . . . (and with) him . . . many . . . the men came to the furthest point (of Athens) under the escort (of the gods); and (soon) they reached the Isthmus of the sea-god, (the earth-shaker,) . . . (and were accomplishing their journey?) with prayers; and (then they departed for) the fair towns of Corinth, and quickly came to (well-built) Cleonae. . ."
428,Stesichorus,Thebes,Polynices,6,...my sons dead in the palace or the city captured.
429,Stesichorus,Thebes,Polynices,6,"(I tell you) what is destined to happen: (you will reach) the house of lord Adrastus, and he will (welcome you and) give you his beautiful daughter . . ."
430,Stesichorus,Thebes,Polynices,6,"(and with) their dear Polynices (went the best leaders) of the Thebans. Making his way he began his journey along the road, passing the great wall . . . (and with) him . . . many . . . the men came to the furthest point (of Athens) under the escort (of the gods); and (soon) they reached the Isthmus of the sea-god, (the earth-shaker,) . . . (and were accomplishing their journey?) with prayers; and (then they departed for) the fair towns of Corinth, and quickly came to (well-built) Cleonae. . ."
196,Corinna,Aegina,Zeus,7,"Of these (daughters) Zeus, (giver?) of good things, (took) his child Aegina . . . from her father’s . . ."
249,Eumelus of Corinth,Ithome,Zeus,7,For the god of Ithome took pleasure in the Muse
280,Ibycus,Argos,Zeus,7,". . . destroyed the great, glorious, blessed city of Priam, son of Dardanus, setting off from Argos by the plans of great Zeus, enduring much-sung strife over the beauty of auburn Helen in tearful war..."
399,Solon,Olympus,Zeus,7,"Resplendent daughters of Memory and Olympian Zeus,"
435,Stesichorus,Troy,Zeus,7,for Apollo . . . neither Artemis nor Aphrodite (still guarded?) the holy (city). . . the city of the Trojans Zeus. . . Trojans. . . deprived. . .
468,Theognis,Olympus,Zeus,7,"Come, Olympian Zeus, fulfil my timely prayer;"
541,Xenophanes,Olympia,Zeus' precinct,7,"where there is the precinct of Zeus by Pisa’s stream in Olympia,"
542,Xenophanes,Pisa,Zeus' precinct,7,"where there is the precinct of Zeus by Pisa’s stream in Olympia,"
65,Alcman,Carystus,wine,8,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.
74,Alcman,Denthiades,wine,8,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.
82,Alcman,Five Crests,wine,8,"Five Crests,"
92,Alcman,Oenus,wine,8,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.
94,Alcman,Onogloi,wine,8,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.
105,Alcman,Stathmi,wine,8,and wine of Oenus or Denthian or Carystian or Onoglian or Stathmite.
132,Anacreon,Scythia,Wine,8,"Come again, let us no longer practise Scythian drinking with clatter and shouting over our wine, but drink moderately amid beautiful songs of praise."
170,Archilochus,Ismaros,wine,8,... on board ship Ismarian wine...
458,Theognis,Euboea,vine-rich Euboea,8,"For I went once to the land of Sicily and I went to the vine-rich plain of Euboea and to Sparta, the splendid city of the reed-nourishing Eurotas, and they all treated me with kindly friendship on my arrival."
461,Theognis,Lelantum,Vineyards (wine),8,Shame on weakness! Cerinthus is destroyed and Lelantum’s fine vineyards are being ravaged;
476,Theognis,Taygetus,wine,8,Drink the wine which was produced for me beneath the peaks of Taygetus
69,Alcman,Cydonia,apple,9,Cydonian apples are mentioned by Stesichorus . . . and by Alcman.
282,Ibycus,Cydonia,Cydonian quince-trees,9,"In the spring flourish Cydonian quince-trees, watered from flowing rivers..."
418,Stesichorus,Cydonia,apple,9,Many Cydonian apples they threw on their lord’s chariot...
77,Alcman,Enetoi,horses,10,garland-winning Venetic foals
78,Alcman,Enetoi,race-horse,10,"Why, don’t you see? The race-horse is Venetic"
84,Alcman,Ibe,race-horse,10,and the second in beauty after Agido will run like a Colaxaean horse against an Ibenian
103,Alcman,Scythia,race-horse,10,and the second in beauty after Agido will run like a Colaxaean horse against an Ibenian
116,Anacreon,Corinth,horse,10,This horse of Pheidolas from spacious Corinth is dedicated to the son of Cronus to commemorate the excellence of his feet
138,Anacreon,Thrace,Filly,10,"Thracian filly, why do you look at me from the corner of your eye and flee stubbornly from me, supposing that I have no skill?"
141,Anacreon,Thrace,Filly,10,I turn my thoughts to the Thracian (filly?).
299,Mimnermus,Lydia,Horses,10,who saw him...routing the thick ranks of the Lydian cavalry on the plain of Hermus.
300,Mimnermus,Paeonia,Horses,10,"bringing men from Paeonia, where (there is) a famous race of horses"
390,Simonides,Zacynthus,horse,10,Horse-rearing goes not with Zacynthus but with wheat-bearing fields.
546,Ibycus,Troy,horse,10,... the great number of ships that came from Aulis across the Aegean sea from Argos to horse-rearing Troy...
72,Alcman,Cyprus,moist charm of Cinyras,11,"giving beauty to her tresses, the moist charm of Cinyras sits on the maiden’s hair."
75,Alcman,Dyme,"hair, Dymainai",11,curl-loving Dymainai
139,Anacreon,Thrace,Locks,11,shaking his (your) Thracian locks
275,Hipponax,Salmydessus,top-knotted Thracians,11,And at Salmydessus may the top-knotted Thracians give him naked a most kindly reception...
276,Hipponax,Thrace,top-knotted Thracians,11,And at Salmydessus may the top-knotted Thracians give him naked a most kindly reception...
280,Ibycus,Argos,hair,11,". . . destroyed the great, glorious, blessed city of Priam, son of Dardanus, setting off from Argos by the plans of great Zeus, enduring much-sung strife over the beauty of auburn Helen in tearful war..."
280,Ibycus,Argos,hair,11,". . . destroyed the great, glorious, blessed city of Priam, son of Dardanus, setting off from Argos by the plans of great Zeus, enduring much-sung strife over the beauty of auburn Helen in tearful war..."
283,Ibycus,Cyprus,hair,11,and ruin mounted long-suffering Pergamum thanks to the golden-haired Cyprian
522,Tyrtaeus,Delphi,hair,11,"For thus Apollo who works from afar, the golden-haired lord of the silver bow, prophesied from his rich shrine"
551,Xenophanes,Colophon,hair,11,"And [the Colophonians, according to Athenaeus] having learned useless luxury from the Lydians, while they were free of hateful tyranny, they used to go to the agora wearing robes all of purple, no fewer than a thousand as a rule, proud and exulting(?)  in the splendour of their hair, drenched with the scent of the most refined unguents."
545,Ibycus,Troy,hair,11,". . . destroyed the great, glorious, blessed city of Priam, son of Dardanus, setting off from Argos by the plans of great Zeus, enduring much-sung strife over the beauty of auburn Helen in tearful war..."
49,Alcaeus,Scythia,Scythian shoes,12,having put on Scythian shoes
120,Anacreon,Lesbos,The girl in the fancy sandals,12,... the girl in the fancy sandals; but she—she comes from Lesbos with its fine cities—finds fault with my hair because it is white...
343,Sappho,Lydia,sandal,12,"and a gay leather strap covered (her?) feet, a fine piece of Lydian work."
18,Alcaeus,Chalcis,swords,13,"Beside them are swords from Chalcis and many belts and tunics. These we have been unable to forget, ever since we first undertook this task."
115,Anacreon,Cimmeria,bows,13,"What do I care, my friend, for the Cimmerians with their curving bows and the Sintians?"
167,Archilochus,Euboea,spear-famed lords,13,This is the warfare in which those spear-famed lords of Euboea are skilled.
176,"Aristotle
",Persia,bow,13,This man was once impiously slain by the king of the bow-bearing Persians in transgression of the holy law of the blessed gods
493,Timotheus,Delphi,bow,13,"Come, far-shooting Pythian, to this holy city"
507,Timotheus,Persia,army,13,"And backwards in flight went the barbarian Persian host, racing along"
522,Tyrtaeus,Delphi,bow,13,"For thus Apollo who works from afar, the golden-haired lord of the silver bow, prophesied from his rich shrine"
89,Alcman,Lydia,headband,15,"For abundance of purple is not sufficient for protection, nor intricate snake of solid gold, no, nor Lydian headband"
347,Sappho,Mytilene,headband,15,"But for you, Cleis, I have no way of obtaining a decorated headband; but . . . the Mytilenean..."
357,Sappho,Sardis,headband,15,Recently . . . a decorated headband from Sardis . . . (Ionian?) cities . . .
93,Alcman,Olympus,Muses?,16,Olympian (Muses
129,Anacreon,Pieria,Muses,16,the Pierian Muses
225,Corinna,Thespia,Muses,16,"Thespia of the beautiful offspring, lover of strangers, loved by the Muses."
355,Sappho,Pieria,Pierian Muses,16,"(Hither,) holy Graces and Pierian Muses"
400,Solon,Olympus,Muses,16,"another, taught the gifts that come from the Olympian Muses"
403,Solon,Pieria,Muses,16,"Pierian Muses, hearken to my prayer."
439,Telestes,Dryopis (Doris),Dorian Muse,16,"or the Phrygian king of the fair-breathing holy pipes, who was the first to tune the Lydian strain, rival of the Dorian muse, weaving about the quivering reeds the fair-winged gust of his breath."
511,Timotheus,Pieria,"""the intricate muse""",16,"Orpheus, Calliope’s son, he of the intricate muse, was the first to beget the tortoise-shell lyre in Pieria"
112,Alcman,Xanthus,swan on the waters of the Xanthus,17,"why, its song is like that of a swan on the waters of the Xanthus"
372,Semonides,Maeander,"goose, egg",17,like the egg of a Maeandrian goose
127,Anacreon,Naucratis,Garland,18,"and each man had three garlands, two of roses and the other a garland of Naucratis."
395,Solon,Cyprus,violet crown (garland?),18,and may Cypris of the violet crown send me unscathed from your famous island on a swift ship.
150,Archilochus,Paros,figs,19,Good-bye to Paros and those figs and life on the sea
271,Hipponax,Lebedos,fig,19,and not to suck on a Lebedian dried fig from Camandolus
446,Theognis,Cyprus,violent-crowned (garland),18,Not for long will you possess the gift of the violet–crowned Cyprus–born.
450,Theognis,Cyprus,violent-crowned (garland),18,"If one day you too shall crave the gift of the Cyprus-born crowned with violets and pursue another,"
80,Alcman,Erysiche,shepherd,62,he was no rustic man nor clumsy (not even in the view of unskilled men?) nor Thessalian by race nor an Erysichaean shepherd: he was from lofty Sardis.
124,Anacreon,Magnesia,"shepherd, river",62,"who now somewhere by the eddies of the Lethaeus look down on a city of bold-hearted men and rejoice, since the citizens whom you shepherd are not untamed."
126,Anacreon,Mysia,asses (donkeys),20,and the Mysians discovered the breeding of mare-mounting asses
155,Archilochus,Arcadia,ass (the animal),20,... an Arcadian ass...
165,Archilochus,Asia,sheep?,20,he has power over sheep-rearing Asia
168,Archilochus,Priene,ass (the animal),20,his prick . . . swelled like that of a Prienian grain–fed breeding ass
256,Hipponax,Ephesus,pig,20,(like?) an Ephesian sow
492,Timotheus,Celaenae,pasture,62,and whenever some steel-bladed Greek seized and carried off an inhabitant of rich-pasturing Celaenae bereft of his fighting powers
161,Archilochus,Lesbos,paean,21,I myself taking the lead in the Lesbian paean to the pipe’s accompaniment
169,Archilochus,Gyrae,cloud,22,... a cloud stands straight round about the heights of Gyrae...
210,Corinna,Hyria,dance,23,"daughter of Hyria, land of fair dances."
223,Corinna,Thebes,dance,23,nd the choir rejoices (in the toils of its feet?) in the seven-gated city
211,Corinna,Ladon,reeds,24,"of Ladon, nurse of reeds"
473,Theognis,Sparta,reeds,24,"For I went once to the land of Sicily and I went to the vine-rich plain of Euboea and to Sparta, the splendid city of the reed-nourishing Eurotas, and they all treated me with kindly friendship on my arrival."
237,Critias,Sicily,wagon,63,"Next, a Sicilian wagon is the most beautiful and expensive"
244,Critias,Thebes,chariot,25,"Thebes was the first to construct the carriage for a chariot,"
346,Sappho,Lydia,chariots,25,I would rather see her lovely walk and the bright sparkle of her face than the Lydians’ chariots and armed infantry
31,Alcaeus,Lesbos,trailing robes,26,"meetings themselves I dwell, keeping my feet out of trouble, where Lesbian women with trailing robes go to and fro being judged for beauty,"
222,Corinna,Tanagra,the white-robed women of Tanagra,26,Terpsichore summons me to sing fine tales for the white-robed women of Tanagra
268,Hipponax,Corax,clothing,26,she clad in a Coraxian mantle
425,Stesichorus,Larissa,clothing,26,"...and from (Larissa) came Eurytion, (son of?) with her trailing robes..."
508,Timotheus,Persia,dress,26,and they rent their well-woven Persian dress about their breasts
551,Xenophanes,Colophon,clothing,26,"And [the Colophonians, according to Athenaeus] having learned useless luxury from the Lydians, while they were free of hateful tyranny, they used to go to the agora wearing robes all of purple, no fewer than a thousand as a rule, proud and exulting(?)  in the splendour of their hair, drenched with the scent of the most refined unguents."
271,Hipponax,Lebedos,vagina,27,and not to suck on a Lebedian dried fig from Camandolus
277,Hipponax,Sindike,vagina,27,Sindian fissure
127,Anacreon,Naucratis,flowers,28,"and each man had three garlands, two of roses and the other a garland of Naucratis."
354,Sappho,Pieria,roses,28,"But when you die you will lie there, and afterwards there will never be any recollection of you or any longing for you since you have no share in the roses of Pieria"
395,Solon,Cyprus,flowers,28,and may Cypris of the violet crown send me unscathed from your famous island on a swift ship.
434,Stesichorus,Troy,flowers,28,". . . (he, having destroyed?) the city . . . the child the descendant of Aeacus . . . round the town . . . (the flowery meadow) of Scamander. . ."
446,Theognis,Cyprus,violets (flowers),28,Not for long will you possess the gift of the violet–crowned Cyprus–born.
450,Theognis,Cyprus,violets (flowers),28,"If one day you too shall crave the gift of the Cyprus-born crowned with violets and pursue another,"
514,Timotheus,Sparta,flowers,28,"for Sparta’s great leader, well-born, long-lived, the populace riotous with the flowers of youth, buffets me"
51,Alcaeus,Teos,cup,29,wine-drops fly from Teian cups
226,Critias,Asia,wine vessels,29,"A Lydian hand, born in Asia, invented (wine) vessels,"
227,Critias,Marathon,pottery,29,"And she that set up the beautiful trophy at Marathon invented the offspring of wheel, earth, and oven, pottery of highest fame, a useful housekeeper."
231,Critias,Etruria,bowls,29,"The Etruscan bowl of beaten gold prevails, and all the bronze that adorns a house for any use."
233,Critias,Lydia,wine vessels,29,"A Lydian hand, born in Asia, invented (wine) vessels,"
236,Critias,Sicily,Cottabus,29,"From the land of Sicily comes the cottabus, a remarkable achievement; we set it up as a target for shafts of wine drops. "
326,Sappho,Cyprus,cups,29,"there, Cypris, take . . . and pour gracefully into golden cups nectar that is mingled with our festivities."
367,Semonides,Argos,cup,29,this is an Argive cup with tapered lip
230,Critias,Chios,bed,30,"Miletus and Chios, Oenopian’s city by the sea, are famed(?) for the beauty of the marriage bed."
234,Critias,Miletus,bed,30,"Miletus and Chios, Oenopian’s city by the sea, are famed(?) for the beauty of the marriage bed."
245,Critias,Thessaly,chair,30,A Thessalian chair is the most comfortable seat for the limbs.
272,Hipponax,Lerna,serpent,31,... serpent at Lerna
371,Semonides,Maeander,eel,31,For a heron found a buzzard eating a Maeandrian Eel and took it away.
352,Sappho,Phocis,handcloths,32,". . . and handcloths . . . purple, perfumed (?), (which Mnasis) sent (to you) from Phocaea, expensive gifts . . .,"
370,Semonides,Achaea,cheese,33,"here, take note, is wonderful Tromilian cheese from Achaea, which I brought back"
373,Semonides,Achaea,cheese,33,"here, take note, is wonderful Tromilian cheese from Achaea, which I brought back"
98,Alcman,Psyra,"Dionysus, rock",34,"taking Dionysus to the holy rock, to Psyra,"
137,Anacreon,Thessaly,Dionysus,34,"In gratitude to you, Dionysus, and as a splendid adornment to the city I was set up by Echecratidas, lord of Thessaly."
71,Alcman,Cyprus,Eros,35,"At the command of the Cyprian, Eros once again pours sweetly down and warms my heart."
128,Anacreon,Olympus,Eros,35,"See, I fly up on light wings to Olympus in search of Love; for (the boy) does not wish to enjoy the fun of youth with me."
453,Theognis,Cyrpus,Eros,35,"Then Love leaves the beautiful island of Cyprus and goes among men, bringing seed down upon the land."
480,Theognis,Troy,Eros,35,"Cruel Eros, the spirits of Madness took you up and nursed you. Because of you Troy’s acropolis was destroyed,"
50,Alcaeus,Sparta,"Sparta, wealth",36,"for they say that Aristodemus once expressed it shrewdly at Sparta: ‘Money is the man, and no poor man is good or honourable.’"
352,Sappho,Phocis,wealth,36,". . . and handcloths . . . purple, perfumed (?), (which Mnasis) sent (to you) from Phocaea, expensive gifts . . .,"
457,Theognis,Delphi,wealth,36,that man to whom the priestess of the god at Delphi in her response reveals the god’s voice from the wealthy shrine.
535,Tyrtaeus,Sparta,money,36,Love of money and nothing else will destroy Sparta
540,Xenophanes,Lydia,luxury (wealth),36,"And [the Colophonians, according to Athenaeus] having learned useless luxury from the Lydians, while they were free of hateful tyranny, they used to go to the agora wearing robes all of purple, no fewer than a thousand as a rule, proud and exulting(?)  in the splendour of their hair, drenched with the scent of the most refined unguents."
551,Xenophanes,Colophon,luxury (wealth),36,"And [the Colophonians, according to Athenaeus] having learned useless luxury from the Lydians, while they were free of hateful tyranny, they used to go to the agora wearing robes all of purple, no fewer than a thousand as a rule, proud and exulting(?)  in the splendour of their hair, drenched with the scent of the most refined unguents."
363,Scythinus,Heracleia,Heracles,37,He [Heracles] also sacked the Cylicranians who were engaged in plunder and built there Heracleia called the Trachinian.
365,Scythinus,Cylicrania,Heracles,37,He [Heracles] also sacked the Cylicranians who were engaged in plunder and built there Heracleia called the Trachinian.
21,Alcaeus,Cyllene,Hermes,38,"Greetings, ruler of Cyllene—for it is of you that I wish to sing"
261,Hipponax,Lydia,Hermes,38,"Hermes, dog throttler, Candaules in Maeonian, companion of thieves, come give me a hand(?)."
263,Hipponax,Cyllene,Hermes,38,"he called upon Maia’s son, sultan of Cyllene"
264,Hipponax,Cyllene,Hermes,38,"Hermes, dear Hermes, son of Maia, Cyllenian..."
274,Hipponax,Phlyesia,Hermes,38,you will make obeisance to Hermes of the Phlyesians
55,Alcaeus,Troy,ships,39,"and crazed by the Trojan man, the deceiver of his host, she accompanied him over the sea in his ship,"
170,Archilochus,Ismaros,ships,39,... on board ship Ismarian wine...
229,Critias,Caria,cargo vessels,39,"and Carians, stewards of the sea, cargo vessels."
281,Ibycus,Aulis,Ships,39,... the great number of ships that came from Aulis across the Aegean sea from Argos to horse-rearing Troy...
293,Mimnermus,Asia,ships,39,we came on our ships to longed-for Asia
395,Solon,Cyprus,ships,39,and may Cypris of the violet crown send me unscathed from your famous island on a swift ship.
431,Stesichorus,Troy,ships,39,"That story is not true, and you did not go on the well-benched ships and you did not reach the citadel of Troy;"
467,Theognis,Melos,sails (ships),39,"we are now being carried along, with white sails lowered, beyond the Melian sea through the dark night"
479,Theognis,Troy,ships,39,"Artemis, slayer of wild beasts, daughter of Zeus, for whom Agamemnon set up a temple when he was preparing to sail on his swift ships to Troy,"
546,Ibycus,Troy,ships,39,... the great number of ships that came from Aulis across the Aegean sea from Argos to horse-rearing Troy...
342,Sappho,Lesbos,singer,40,"Superior, as the Lesbian singer to those of other lands"
131,Anacreon,Samos,Nymphs,41,city of the Nymphs:
306,Philoxenus of Cythera,Parnassus,Nymphs,41,For they themselves on Parnassus within the gold-roofed chambers of the Nymphs
135,Anacreon,Teos,citadel,42,But now the crown of the city is destroyed.
223,Corinna,Thebes,dance,42,nd the choir rejoices (in the toils of its feet?) in the seven-gated city
231,Critias,Etruria,architecture,42,"The Etruscan bowl of beaten gold prevails, and all the bronze that adorns a house for any use."
290,Ibycus,Troy,urban architecture,42,... of high-gated Troy...
295,Mimnermus,Colchis,architecture,42,"Aeetes’ city, where the rays of the swift Sun lie in a golden storeroom at the edge of Oceanus, where god-like Jason went."
306,Philoxenus of Cythera,Parnassus,houses,42,For they themselves on Parnassus within the gold-roofed chambers of the Nymphs
431,Stesichorus,Troy,citadel`,42,"That story is not true, and you did not go on the well-benched ships and you did not reach the citadel of Troy;"
433,Stesichorus,Troy,wall,42,". . . hero Achilles . . . he (you?) took away . . . (he, having destroyed?) the city . . . and ( ) the wall . . . bold . . . wonder(ful). . ."
437,Stesichorus,Troy,urban architecture,42,. . . easily . . . groan(ing) heavily . . . having sacked the well-built glorious (citadel) of Troy . . . glory (among) mankind . . .
457,Theognis,Delphi,shrine (architecture),42,that man to whom the priestess of the god at Delphi in her response reveals the god’s voice from the wealthy shrine.
477,Theognis,Thebes,"walls, Thebes",42,"I am Aethon by birth, but I dwell in the well–walled city of Thebes, excluded from my homeland."
479,Theognis,Troy,temple,42,"Artemis, slayer of wild beasts, daughter of Zeus, for whom Agamemnon set up a temple when he was preparing to sail on his swift ships to Troy,"
480,Theognis,Troy,architecture,42,"Cruel Eros, the spirits of Madness took you up and nursed you. Because of you Troy’s acropolis was destroyed,"
498,Timotheus,Ionia,walls,42,"it was the city of Miletus that nurtured him, the city of a twelve-walled people that is foremost among the Achaeans."
503,Timotheus,Miletus,walls,42,"it was the city of Miletus that nurtured him, the city of a twelve-walled people that is foremost among the Achaeans."
522,Tyrtaeus,Delphi,architecture,42,"For thus Apollo who works from afar, the golden-haired lord of the silver bow, prophesied from his rich shrine"
550,Stesichorus,Cleonae,architecture,42,"(and with) their dear Polynices (went the best leaders) of the Thebans. Making his way he began his journey along the road, passing the great wall . . . (and with) him . . . many . . . the men came to the furthest point (of Athens) under the escort (of the gods); and (soon) they reached the Isthmus of the sea-god, (the earth-shaker,) . . . (and were accomplishing their journey?) with prayers; and (then they departed for) the fair towns of Corinth, and quickly came to (well-built) Cleonae. . ."
130,Anacreon,Samos,talkers (muthietai) (speech),43,"and so Anacreon says of the rebellious fishermen in Samos: and in the island, Megistes, the talkers hold sway over the sacred city,"
490,Timotheus,Asia,speech. dialect,43,"and he, embracing his knees, would beseech him, interweaving Greek speech with Asian, shattering his mouth’s seal in piercing cry, tracking down the Ionian tongue"
