imaginaryid,poetname,poetId,cityname,cityId,relationship,destination,destination_id,speaker,speakerid,notes,source_poem,source_citation,original_source,source_greektext,source_translation,source_translator,source_notes,source_explicit
76,Alcman,93,Dyme,166,,,,,,,Alcm. fr. 10(a),,,τὺ δ[. . .]λαις ἄρχε ταῖς Δυμαί[ναις]<br>See Hesychius s.v. Δύμη,And you... lead the Dymainai,Campbell,,TRUE
68,Alcman,93,Corcyra,164,,,,,,,Alcm. fr. 114,,,"καὶ Κέρκυρος ἁγήται,","and leads a Corcyraean,",Campbell,,TRUE
110,Alcman,93,Thessaly,34,,,,,,,Alcm. fr. 122,,,†τῶ ἐν† Θεσσαλίῳ κλήτει.,(Thessalian?) fame.,Campbell,,TRUE
98,Alcman,93,Psyra,177,,,,,,,Alcm. fr. 124,,,"πάρ τ᾿ ἱαρὸν σκόπελον παρά τε Ψύρα τὸν Διόνυσον ἄγοντες,","taking Dionysus to the holy rock, to Psyra,",Campbell,,TRUE
66,Alcman,93,Cerbesians,162,,,,,,,Alcm. fr. 126,,,"Φρύγιον αὔλησε μέλος τὸ Κερβήσιον,","he piped a Phrygian tune, the Cerbesian,",Campbell,,TRUE
96,Alcman,93,Phrygia,128,,,,,,,Alcm. fr. 126,,,"Φρύγιον αὔλησε μέλος τὸ Κερβήσιον,","he piped a Phrygian tune, the Cerbesian,",Campbell,,TRUE
100,Alcman,93,Sardis,43,,,,,,,Alcm. fr. 13(c),,,οὐδὲ [Θεσσαλὸς γένος ἀλλὰ] Σαρδί[ων ἀπ᾿ ἀκρᾶν,"nor Thessalian by race, but from lofty) Sardis",Campbell,,TRUE
108,Alcman,93,Thessaly,34,,,,,,,Alcm. fr. 13(c),,,οὐδὲ [Θεσσαλὸς γένος ἀλλὰ] Σαρδί[ων ἀπ᾿ ἀκρᾶν,"nor Thessalian by race, but from lofty) Sardis",Campbell,,TRUE
107,Alcman,93,Therapne,179,,,,,,,Alcm. fr. 14,b,,καὶ ναὸς ἁγνὸς εὐπύργω Σεράπνας:,and the holy temple of well-towered Therapne,Campbell,,TRUE
59,Alcman,93,Achaea,130,,,,,,,Alcm. fr. 149,,,Αἰγιαλίς,woman of Aegialus (ancient name of Achaea).,Campbell,,TRUE
61,Alcman,93,Annichorum,156,,,,,,,Alcm. fr. 150,,,Ἀννίχωρον,Annichorum,Campbell,,TRUE
85,Alcman,93,Illyria,211,,,,,,,Alcm. fr. 151,,,Ἀράξαι ἢ Ἄραξοι·,Araxae or Araxi:,Campbell,,TRUE
79,Alcman,93,Epirus,127,,,,,,,Alcm. fr. 152,,,Ἀρύββας,Arybban,Campbell,possibly Epirus?,TRUE
64,Alcman,93,Assos,160,,,,,,,Alcm. fr. 153,,,Ἀσσός,Assus,Campbell,,TRUE
83,Alcman,93,Gargara,171,,,,,,,Alcm. fr. 154,,,τὴν Γάργαρον,Gargarus,Campbell,,TRUE
97,Alcman,93,Pityussae (Balearic Islands),176,,,,,,,Alcm. fr. 157,,,Πιτυώδεις,Pityodeis,Campbell,,TRUE
80,Alcman,93,Erysiche,168,,,,,,,Alcm. fr. 16,,,"οὐκ ἦς ἀνὴρ ἀγρεῖος οὐ- / δὲ σκαιὸς οὐδὲ † παρὰ σοφοῖ- / σιν† οὐδὲ Θεσσαλὸς γένος, / Ἐρυσιχαῖος οὐδὲ ποιμήν, / ἀλλὰ Σαρδίων ἀπ᾿ ἀκρᾶν.",he was no rustic man nor clumsy (not even in the view of unskilled men?) nor Thessalian by race nor an Erysichaean shepherd: he was from lofty Sardis.,Campbell,,TRUE
101,Alcman,93,Sardis,43,,,,,,,Alcm. fr. 16,,,"οὐκ ἦς ἀνὴρ ἀγρεῖος οὐ- / δὲ σκαιὸς οὐδὲ † παρὰ σοφοῖ- / σιν† οὐδὲ Θεσσαλὸς γένος, / Ἐρυσιχαῖος οὐδὲ ποιμήν, / ἀλλὰ Σαρδίων ἀπ᾿ ἀκρᾶν.",he was no rustic man nor clumsy (not even in the view of unskilled men?) nor Thessalian by race nor an Erysichaean shepherd: he was from lofty Sardis.,Campbell,,TRUE
109,Alcman,93,Thessaly,34,,,,,,,Alcm. fr. 16,,,"οὐκ ἦς ἀνὴρ ἀγρεῖος οὐ- / δὲ σκαιὸς οὐδὲ † παρὰ σοφοῖ- / σιν† οὐδὲ Θεσσαλὸς γένος, / Ἐρυσιχαῖος οὐδὲ ποιμήν, / ἀλλὰ Σαρδίων ἀπ᾿ ἀκρᾶν.",he was no rustic man nor clumsy (not even in the view of unskilled men?) nor Thessalian by race nor an Erysichaean shepherd: he was from lofty Sardis.,Campbell,,TRUE
77,Alcman,93,Enetoi,167,,,,,,,Alcm. fr. 172,,,Ἐνετίδας πώλους στεφανηφόρους·,garland-winning Venetic foals,Campbell,,TRUE
67,Alcman,93,Cnacalus,163,,,,,,mountain at Caphyae in Arcadia,Alcm. fr. 173,,,οὐδὲ τῶ Κνακάλω οὐδὲ τῶ Νυρσύλα.,nor from Cnacalus nor from Nyrsylas.,Campbell,,TRUE
91,Alcman,93,Nyrsylas,173,,,,,,unknown,Alcm. fr. 173,,,οὐδὲ τῶ Κνακάλω οὐδὲ τῶ Νυρσύλα.,nor from Cnacalus nor from Nyrsylas.,Campbell,,TRUE
62,Alcman,93,Athens,2,,,,,,,Alcm. fr. 22,,,Ἀσαναίων πόλιν,city of the Asanaioi,Campbell,Hesychius (the source) identifies as Aphidnae; Asanaioi is Alcman's form of Athenians,
63,Alcman,93,Asia,133,,,,,,,Alcm. fr. 3.23,2,,εὐρυ]χόρω δ᾿ Ἀσίας̣[ ?,spacious Asia?,Campbell,,TRUE
90,Alcman,93,Maeonia,102,,,,,,city ID for Lydia,Alcm. fr. 3.23,6,,Μαιόν[?,Maeonia(n)?,Campbell,,TRUE
72,Alcman,93,Cyprus,106,,,,,,,Alcm. fr. 3.3,71,,καλλίκ]ομος νοτία Κινύρα χ[άρ]ις / ἐπὶ π]αρσενικᾶς χαίταισιν ἵσδει·,"giving beauty to her tresses, the moist charm of Cinyras sits on the maiden’s hair.",Campbell,Cinyras a mythical king of Cyprus,TRUE
75,Alcman,93,Dyme,166,,,,,,I think 'curl' refers to hair,Alcm. fr. 4.5,4,,Δυμαί[ναις . . . φιλοπλ]οκάμοις<br>See Hesychius s.v. Δύμη,curl-loving Dymainai,Campbell,Hesychius says Dymainai are choir-girls in Sparta; Dyme a part of Sparta,TRUE
106,Alcman,93,Therapne,179,,,,,,,Alcm. fr. 4.8,4,,Σ]εράπνα[,Therapne,Campbell,,TRUE
87,Alcman,93,Lycia,150,,,,,,,Alcm. fr. 49,,,πρόσθ᾿ Ἀπόλλωνος Λυκήω,before Lycean Apollo.,Campbell,,
111,Alcman,93,Trygeae,,,,,,,"""unidentified place"" (Campbell)",Alcm. fr. 4A,12,,Λευκοθεᾶν ἐρατὸν τέμενος ἐκ Τρυγεᾶν ἀνιών,the lovely sanctuary of the Leucotheae by going up from Trygeae,Campbell,,TRUE
104,Alcman,93,Sparta,10,,,,,,,Alcm. fr. 4C,10,,]ἐκ Σπάρ[τας?,from Sparta(?),Campbell,,TRUE
88,Alcman,93,Lycia,150,,,,,,,Alcm. fr. 50(a),,,περισσόν· αἰ γὰρ Ἀπόλλων ὁ Λύκηος,". . . excessive; if only Lycean Apollo . . .,",Campbell,,
