poetname,poetId,cityname,cityId,relationship,relationshipid,nativeid,dotted,notes,source_work,source_workid,source_citation,source_greektext,source_translation,source_translator,source_notes,source_explicit
Alkaios,36,Peloponnese,,performed,3,3,,,Scholia to Aristophanes,,Schol. Ar. Thesm. 164,"...ἀλλαχοῦ δὲ ὁ Δίδυμός φησιν, ἡ μὲν γραφὴ δύναται μένειν, οὐκ ἂν δὲ τούτου τοῦ μελοποιοῦ μέμνηται, πάλιν τὸ αὐτὸ λέγω ὅτι οὐκ ἐπεπόλαζε τὰ μέλη, ἀλλ' Ἀλκαίου τοῦ κιθαρῳδοῦ, οὗ καὶ Εὔπολις ἐν Χρυσῷ Γένει μέμνηται (fr. 303 K.-A.) »ὦ 'λκαῖε Σικελιῶτα Πελοποννήσιε.»","...But Didymus provides an alternative explanation: he says that the reading [of Alkaios] can remain, but [Aristophanes] is not mentioning the famous lyric poet (let me say again that [the lyric poet's] poetry was not current in Athens), but rather Alkaios the citharode, whom Eupolis mentions in his Golden Race, ""O Alcaeus, the Sicilian, the Peloponnesian.""",Driscoll,,yes
Alkimakhos,35,Athens,2,performed,3,3,,Not in the New Pauly,Vase,,Beazley ARV vol. 2 p. 1044 no. 9 (8),"Musician labeled ΑΛΚΙΜΑΧΟΣ. Four Nikai flying to him: ΠΑΝΑΘΕΝΑΙΟ[Σ] ΝΙΚΗ, ΝΙΚΗ ΝΕΜΕΑΙ, ΜΑΡΑΘΟΝΙ, ΙΣΘΜΟΙ","Alkimakhos. Victory at the Panathenaia, Victory at Nemea, Marathon, the Isthmus",Driscoll,,yes
Alkimakhos,35,Nemea,27,performed,3,3,,,Vase,,Beazley ARV vol. 2 p. 1044 no. 9 (8),"Musician labeled ΑΛΚΙΜΑΧΟΣ. Four Nikai flying to him: ΠΑΝΑΘΕΝΑΙΟ[Σ] ΝΙΚΗ, ΝΙΚΗ ΝΕΜΕΑΙ, ΜΑΡΑΘΟΝΙ, ΙΣΘΜΟΙ","Alkimakhos. Victory at the Panathenaia, Victory at Nemea, Marathon, the Isthmus",Driscoll,,yes
Alkimakhos,35,Marathon,28,performed,3,3,,,Vase,,Beazley ARV vol. 2 p. 1044 no. 9 (8),"Musician labeled ΑΛΚΙΜΑΧΟΣ. Four Nikai flying to him: ΠΑΝΑΘΕΝΑΙΟ[Σ] ΝΙΚΗ, ΝΙΚΗ ΝΕΜΕΑΙ, ΜΑΡΑΘΟΝΙ, ΙΣΘΜΟΙ","Alkimakhos. Victory at the Panathenaia, Victory at Nemea, Marathon, the Isthmus",Driscoll,,yes
Alkimakhos,35,Isthmus,146,performed,3,3,,,Vase,,Beazley ARV vol. 2 p. 1044 no. 9 (8),"Musician labeled ΑΛΚΙΜΑΧΟΣ. Four Nikai flying to him: ΠΑΝΑΘΕΝΑΙΟ[Σ] ΝΙΚΗ, ΝΙΚΗ ΝΕΜΕΑΙ, ΜΑΡΑΘΟΝΙ, ΙΣΘΜΟΙ","Alkimakhos. Victory at the Panathenaia, Victory at Nemea, Marathon, the Isthmus",Driscoll,,yes
Anacreon,94,Athens,2,performed,3,3,,,pseudo-Plato,,[Pl.] Hipparch. 228bc,καὶ ἐπ᾿ Ἀνακρέοντα τὸν Τήϊον πεντηκόντορον στείλας ἐκόμισεν εἰς τὴν πόλιν,Hipparchus sent a fifty-oared ship to fetch Anacreon of Teos to Athens,Campbell,,yes
Anacreon,94,Samos,41,performed,3,3,,"NP: “Hipparchus sent a warship to Samos, for the purpose of bringing A. back from there (Pl. Hipparch. 228B-c).”",Aelian,,Ael. V. H. 9. 4,Πολυκράτης ὁ Σάμιος ἐν Μούσαις ἦν καὶ Ἀνακρέοντα ἐτίμα τὸν Τήϊον καὶ διὰ σπουδῆς ἦγε καὶ ἔχαιρεν αὐτῷ καὶ τοῖς ἐκείνου μέλεσιν.,"Polycrates of Samos loved the arts, and he honoured and favoured Anacreon of Teos, delighted with both the man and his poetry.",Campbell,,no
Anacreon,94,Teos,42,born,1,1,,,pseudo-Plato,,[Pl.] Hipparch. 228bc,καὶ ἐπ᾿ Ἀνακρέοντα <b>τὸν Τήϊον</b> πεντηκόντορον στείλας ἐκόμισεν εἰς τὴν πόλιν,Hipparchus sent a fifty-oared ship to fetch Anacreon <b>of Teos</b> to Athens,Campbell,,yes
Anacreon,94,Abdera,65,performed,3,3,,,Suda,,Suda A 1916,ἐκπεσὼν δὲ Τέω διὰ τὴν Ἱστιαίου ἐπανάστασιν ᾤκησεν Ἄβδηρα ἐν Θρᾴκῃ.,Because of the revolt of Histiaeus he had to leave Teos and settled in Abdera in Thrace.,Campbell,,yes
Antigenes,8,Athens,2,performed,3,3,,,Palatine Anthology,,Anth. Pal. 13.28,"Πολλάκι δὴ φυλῆς Ἀκαμαντίδος ἐν χοροῖσιν Ὧραι / ἀνωλόλυξαν κισσοφόροις ἐπι διθυράμβοις / αἱ Διονυσιάδες, μίτραισι δὲ καὶ ῥόδων ἀώτοις / σοφῶν ἀοιδῶν ἐσκίασαν λιπαρὰν ἔθειραν, / οἳ τόνδε τρίποδά σφισι μάρτυρα Βακχίων ἀέθλων / ἔθηκαν· κείνους δ᾿ Ἀντιγένης ἐδίδασκεν ἄνδρας.","Often in truth, in the choruses of the tribe Acamantis, did the Hours, the companions of Dionysus, shout in triumph at the ivy-crowned dithyrambs, and overshadow the bright locks of skilled poets with fillets and rose blossoms. The chorus now hath set up this tripod as a witness of their Bacchic contest. Antigenes was the poet who trained those men to sing his verses,",Paton,"""The epigram represents an inscription on a tripod (5) commemorating a victory (11) in the Dithyrambic competition (2) at the Dionysia (3) by the Athenian tribe Acamantis (1)"" (Page 1981: 11) victory (11) in the Dithyrambic competition (2) at the Dionysia (3) by theAthenian tribe Acamantis (1)",no
Apollodorus,96,Thebes,3,,3,3,,GL: Eustathius says he might have taught Pindar poetry and put Pindar in charge of a chorus while he (Pindar) was a boy because he had to go out of town.,Eustathius,,Eust. prooem. Pind. 27,"... Ἀπολλοδώρου, ὅν φασι καὶ προϊστάμενον κυκλίων χορῶν καὶ ἀποδημοῦντα πιστεῦσαι τὴν διδασκαλίαν Πινδάρῳ παιδὶ ὄντι·","or by Apollodorus. They say that Apollodorus was in charge of circular choruses and that when he was out of the city he entrusted their training to Pindar, who was still only a boy;",Campbell,"Presumably this chorus was in Thebes, though Cynoscephalae cannot be ruled out",no
Archilochus,97,Sparta,10,,3,3,,,Plutarch,,Plut. Instit. Lac. 34.239b,Ἀρχίλοχον τὸν ποιητὴν ἐν Λακεδαίμονι γενόμενον αὐτῆς ὥρας ἐδίωξαν...,"When the poet Archilochus arrived in Sparta, they drove him out at once...",Campbell,,yes
Archilochus,97,Paros,39,born,1,1,,,Inscription,,Inscriptio (CEG 2. 674 Hansen),"Ἀρχίλοχος Πάριος Τελεσικλέος ἐνθάδε κεῖται, το (i.e. τοῦ) Δόκιμος μνημήιον ὁ Νεοκρέωντος τόδ᾿ ἔθηκεν.","Archilochus of Paros, son of Telesicles, lies here; this memorial for him was set up by Dokimos, son of Neokreon.",Campbell,,yes
Archilochus,97,Thasos,40,,3,3,,,Critias,,Critias 88 B 44 D.-K. ap. Aelian. V.H. 10. 13 (= fr. 295 West),"αἰτιᾶται Κριτίας Ἀρχίλοχον ὅτι κάκιστα ἑαυτὸν εἶπεν. εἰ γὰρ μή, φησίν, ἐκεῖνος τοιαύτην δόξαν ὑπὲρ ἑαυτοῦ ἐς τοὺς Ἕλληνας ἐξήνεγκεν, οὐκ ἂν ἐπυθόμεθα ἡμεῖς οὔτε ὅτι Ἐνιποῦς υἱὸς ἦν τῆς δούλης, οὔθ᾿ ὅτι καταλιπὼν Πάρον διὰ πενίαν καὶ ἀπορίαν ἦλθεν ἐς Θάσον, οὔθ᾿ ὅτι ἐλθὼν τοῖς ἐνταῦθα ἐχθρὸς ἐγένετο, οὐδὲ μὴν ὅτι ὁμοίως τοὺς φίλους καὶ τοὺς ἐχθροὺς κακῶς ἔλεγε.","Critias censures Archilochus because he spoke very ill of himself. For if, he says, Archilochus had not made public among the Greeks such an opinion of himself, we should not have learned that he was the son of Enipo, a slave-woman, that because of poverty and difficult straits he left Paros and went to Thasos, that upon his arrival he became an enemy of the inhabitants, and in addition that he spoke ill of friends and enemies alike.",Campbell,,yes
Archilochus,97,Olympia,87,,3,3,,,Scholia to Pindar,,Schol. Pind. Ol. 9.1-4,"ὁ Ἀρχίλοχος, πρὸ τούτων τῶν λυρικῶν γενόμενος, θελήσας ὕμνον ἀναβαλέσθαι εἰς Ἡρακλέα ἐν τῇ Ὀλυμπίᾳ, ἀπορήσας κιθαρῳδοῦ διά τινος λέξεως μιμήσασθαι τὸν ῥυθμὸν καὶ τὸν ἦχον τῆς κιθάρας ἐπεχείρησε.","Archilochus, who was born before these lyric poets, wished to strike up a hymn to Heracles at Olympia, but lacking a lyre-player he tried to imitate the rhythm and sound of the lyre by means of a word.",Campbell,,yes
Arignotos,37,Athens,2,born,3,3,,Not in the New Pauly or LG,Aristophanes,,Ar. Eq. 1278-9,"νῦν δ᾿ Ἀρίγνωτον γὰρ οὐδεὶς ὅστις οὐκ ἐπίσταται, / ὅστις ἢ τὸ λευκὸν οἶδεν ἢ τὸν ὄρθιον νόμον.",But it’s a fact that everyone who can tell good music from bad knows who Arignotus is.,Campbell,"Cf. scholia on this passage, Wasps 1275 + scholia, and Ath. 5.220b. None of these sources are explicit about Arignotos being from Athens, but the assumption that the audience will know him, his brothers, and his father strongly suggest an Athenian origin",no
Arion,98,Tarentum,19,,3,3,,,Herodotus,,Hdt. 1.23,"ὁρμᾶσθαι μέν νυν <b>ἐκ Τάραντος</b>, πιστεύοντα δὲ οὐδαμοῖσι μᾶλλον ἢ Κορινθίοισι μισθώσασθαι πλοῖον ἀνδρῶν Κορινθίων·","So he set out <b>from Tarentum</b>, chartering a Corinthian ship, since he had more confidence in Corinthians than in any others;",Campbell,,yes
Arion,98,Methymna,45,born,1,1,,,Herodotus,,Hdt. 1.23,"τῷ δὴ λέγουσι Κορίνθιοι (ὁμολογέουσι δέ σφι Λέσβιοι) ἐν τῷ βίῳ θῶμα μέγιστον παραστῆναι, Ἀρίονα <b>τὸν Μηθυμναῖον</b> ἐπὶ δελφῖνος ἐξενειχθέντα ἐπὶ Ταίναρον","According to the Corinthians, with whom the Lesbians agree in the matter, a most astonishing thing happened during his life; Arion <b>of Methymna</b> was carried safely to Taenarum on the back of a dolphin.",Campbell,,yes
Arion,98,Corinth,48,,3,3,,,Herodotus,,Hdt. 1.23,"τοῦτον τὸν Ἀρίονα λέγουσι, τὸν πολλὸν τοῦ χρόνου διατρίβοντα παρὰ Περιάνδρῳ, ἐπιθυμῆσαι πλῶσαι ἐς Ἰταλίην τε καὶ Σικελίην, ἐργασάμενον δὲ χρήματα μεγάλα θελῆσαι ὀπίσω <b>ἐς Κόρινθον</b> ἀπικέσθαι.","He had spent the greater part of his life, they say, at the court of Periander when he felt the urge to sail to Italy and Sicily. After making a great fortune there, he decided to return <b>to Corinth</b>.",Campbell,,yes
Arion,98,Sicily,68,,3,3,,?,Herodotus,,Hdt. 1.23,"τοῦτον τὸν Ἀρίονα λέγουσι, τὸν πολλὸν τοῦ χρόνου διατρίβοντα παρὰ Περιάνδρῳ, ἐπιθυμῆσαι πλῶσαι ἐς Ἰταλίην τε καὶ <b>Σικελίην</b>, ἐργασάμενον δὲ χρήματα μεγάλα θελῆσαι ὀπίσω ἐς Κόρινθον ἀπικέσθαι.","He had spent the greater part of his life, they say, at the court of Periander when he felt the urge to sail to Italy and <b>Sicily</b>. After making a great fortune there, he decided to return to Corinth.",Campbell,,yes
Arion,98,Tainaron,69,,3,3,,,Herodotus,,Hdt. 1.23,"τῷ δὴ λέγουσι Κορίνθιοι (ὁμολογέουσι δέ σφι Λέσβιοι) ἐν τῷ βίῳ θῶμα μέγιστον παραστῆναι, Ἀρίονα τὸν Μηθυμναῖον ἐπὶ δελφῖνος ἐξενειχθέντα <b>ἐπὶ Ταίναρον</b>","According to the Corinthians, with whom the Lesbians agree in the matter, a most astonishing thing happened during his life; Arion of Methymna was carried safely <b>to Taenarum</b> on the back of a dolphin.",Campbell,,yes
Ariphrades,39,Athens,2,performed,3,3,,,Scholia to Aristophanes,,Schol. Ar. Eccl. 129,Ἀρίφραδες: Ὡς ἀναμεμιγμένου αὐταῖς. λοιδορεῖται δὲ πρὸς γυναῖκας αἰσχρὸς ὢν κιθαρῳδός. ,Ariphrades: [mocked] as though he had joined their company. He is a base kitharode who rails against women.,Driscoll,Again I assume that Aristophanes' komodoumenoi were active in Athens.,no
Ariphron,23,Athens,2,performed,3,3,,,Inscription,,I.G. ii 3.1280,"Μνησίμαχος Μνησιστράτου Θεότιμος Διοτίμου ἐχορήγουν, Ἀρίφρων ἐδίδασκεν, Π[ολυχ]άρης Κώμω[ν]ος ἐ[δίδ]ασκεν.","Mnesimachus son of Mnesistratus and Theotimus son of Diotimus were the chorēgoi, Ariphron trained the chorus, and Polychares son of Comon trained the chorus.",Campbell,The inscription is Attic.,yes
Ariphron,23,Sicyon,13,born,1,1,,,Athenaeus,,Ath. 15.701f-702b,τὸν εἰς τὴν Ὑγίειαν παιᾶνα ᾄσας τὸν ποιηθέντα ὑπὸ Ἀρίφρονος τοῦ Σικυωνίου τόνδε·,"He sang the paean to Health that was composed by Ariphron of Sicyon, as follows",Campbell,,yes
Aristarkhos,9,Athens,2,performed,3,3,,,Inscription,,IG I (3rd edition) 960,"Αἰγηῒς ἐνίκα. Πυθόδωρος Ἐπιζήλο ἐχορήγε, Ἀρίσταρχος ἐδίδασκε, Χαρίας ἦρχ[ε].","[The Athenian tribe] Aegeis won. Pythodorus the son of Epizelus was choregos, Aristarchus taught [the chorus], Charias was archon.",Driscoll,,yes
Aristokleides,57,Mytilene,8,,1,1,,,Scholia to Aristophanes,,Schol. Ar. Nub. 971a,"Φρῦνις κιθαρῳδὸς Μιτυληναῖος. οὗτος δὲ δοκεῖ πρῶτος παρ᾿ Ἀθηναίοις κιθαρῳδικῇ νικῆσαι Παναθήναια ἐπὶ Καλλιμάχου (M. H. E. Meyer: Καλλίου codd.) ἄρχοντος. ἦν δὲ Ἀριστοκλείτου μαθητής. ὁ δὲ Ἀριστόκλειτος τὸ γένος ἦν ἀπὸ Τερπάνδρου, ἤκμασε δὲ ἐν τῇ Ἑλλάδι κατὰ τὰ Μηδικά. παραλαβὼν δὲ τὸν Φρῦνιν αὐλῳδοῦντα κιθαρίζειν ἐδίδαξεν.","Phrynis was a cithara-singer from Mytilene. He seems to have been the first to win the Panathenaic cithara-singing prize in Athens in the archonship of Callimachus (446/5 b.c.). He was a pupil of Aristocleitus, who was descended from Terpander and flourished in Greece at the time of the Persian Wars: he took over Phrynis, who had previously sung to pipe accompaniment, and taught him cithara-playing.",Campbell ,I assume if Phrynis is from Mytilene he learned from a teacher active in Mytilene. The Campbell translation is from the Phrynis testimonia.,no
Aristonous,38,Athens,2,performed,3,3,,,Inscription,,IG 12.5 444 80-1 = Parian Marble 67,"ἀφ' οὗ Ἀρ[ι]στ[όνους ὁ κιθαρωιδὸς ἐνίκησεν] Ἀθήνησιν, ἔτη ΗΔΔΔ𐅃, ἄρχοντος Ἀθήνησιν Ἀριστοκράτους.",It has been 135 years [=399/8 BCE] since Arist[onous the kitharode won] at Athens during the archonship of Aristocrates at Athens.,Driscoll,,yes
Aristonous,38,Delphi,30,born,1,1,,,Plutarch,,Plut. Lys. 18.10,"ἐπεὶ μέντοι ὁ κιθαρῳδὸς Ἀριστόνους ἑξάκις Πύθια νενικηκὼς ἐπηγγέλλετο τῷ Λυσάνδρῳ φιλοφρονούμενος, ἂν νικήσῃ πάλιν, Λυσάνδρου κηρύξειν ἑαυτόν, “Ἦ δοῦλον;” εἶπεν.","However, when Aristonoüs the harper, who had been six times victor at the Pythian games, told Lysander in a patronizing way that if he should be victorious again, he would have himself proclaimed under Lysander’s name, “That is,” Lysander replied, “as my slave?”",,,yes
Arkhelaos,56,Athens,2,born,1,1,,,Diogenes Laertius,,Diog. Laert. 2.4.16,"Ἀρχέλαος Ἀθηναῖος ἢ Μιλήσιος, πατρὸς Ἀπολλοδώρου, ὡς δέ τινες, Μίδωνος, μαθητὴς Ἀναξαγόρου, διδάσκαλος Σωκράτους.","Archelaus, the son of Apollodorus, or as some say of Midon, was a citizen of Athens or of Miletus; he was a pupil of Anaxagoras, who first brought natural philosophy from Ionia to Athens.",Hicks,,yes
Arkhelaos,56,Miletus,9,,1,1,,,Diogenes Laertius,,Diog. Laert. 2.4.16,"Ἀρχέλαος Ἀθηναῖος ἢ Μιλήσιος, πατρὸς Ἀπολλοδώρου, ὡς δέ τινες, Μίδωνος, μαθητὴς Ἀναξαγόρου, διδάσκαλος Σωκράτους.","Archelaus, the son of Apollodorus, or as some say of Midon, was a citizen of Athens or of Miletus; he was a pupil of Anaxagoras, who first brought natural philosophy from Ionia to Athens.",Hicks,,yes
Arkhestratos,10,Athens,2,born,3,3,,,Inscription,,IG II (2nd edition) 3027 = Plut. Arist. 1.4,"Ἀντιοχὶς ἐνίκα, Ἀριστείδης ἐχορήγει, Ἀρχέστρατος ἐδίδασκε.",Antiochis was victorious; Aristides was Choregus [i.e. Choregos]; Archestratus was Poet.,Perrin,The inscription still exists on stone and was quoted by Demetrius of Phaleron (apud Plutarch),yes
Arrhibaeus,19,Macedonia,33,born,1,1,,,Suda,,Suda Ε 3695,"ἐτελεύτησε δὲ ὑπὸ ἐπιβουλῆς Ἀρριβαίου τοῦ Μακεδόνος καὶ Κρατεύα τοῦ Θετταλοῦ, ποιητῶν ὄντων καὶ φθονησάντων αὐτῷ...","[Euripides] died owing to a conspiracy by Arrhibaeus of Macedon and Crateuas of Thessaly, who were poets and hostile to him.",Kovacs,Translation from Kovacs' Euripidea,yes
Asius,99,Samos,41,born,1,1,,,Athenaeus,,Ath 3.125b-e,κνισολοιχὸς γάρ τις εἶ <καὶ> (add. Casaubon) κατὰ τὸν Σάμιον ποιητὴν Ἄσιον τὸν παλαιὸν ἐκεῖνον {καὶ} (del. Casaubon) κνισοκόλαξ...,"For you are a fat-licker and, as Asius, that Samian poet of old, puts it, a fat-flatterer...",Campbell,,yes
Bacchylides,100,Athens,2,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 19 Title,ΙΩ ΑΘΗΝΑΙΟΙΣ,Io for the Athenians,Campbell,,no
Bacchylides,100,Delos,5,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 17 Title,ΗΙΘΕΟΙ Η ΘΗΣΕΥΣ [ΚΗΙΟΙΣ ΕΙΣ ΔΗΛΟΝ],The Young Athenians or Theseus for the Ceans to Perform in Delos,Campbell,Removed since explicit mention of Delos only added by editor,no
Bacchylides,100,Sparta,10,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 20 Title,ΙΔΑΣ ΛΑΚΕΔΑΙΜΟΝΙΟΙΣ,Idas for the Spartans,Campbell,,no
Bacchylides,100,Syracuse,18,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 3 Title,ΙΕΡΩΝΙ ΣΥΡΑΚΟΣΙΩΙ ΙΠΠΟΙΣ [ΟΛΥ]MΠΙΑ,"For Hiero of Syracuse Chariot Race, Olympic Games",Campbell,,no
Bacchylides,100,Nemea,27,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 9 Title,ΑΥΤΟΜΗΔΕΙ ΦΛΕΙΑΣΙΩΙ ΠΕΝΤΑΘΛΩΙ ΝΕΜΕΑ,"For Automedes Of Phlius Pentathlon, Nemean Games",Campbell,,no
Bacchylides,100,Isthmus,146,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 1 Title,<ΑΡΓΕΙΩΙ ΚΕΙΩΙ> <ΠΑΙΔΙ ΠΥΚΤΗΙ (?) ΙΣΘΜΙΑ>,"For Argeius of Ceos Boy Boxer, Isthmian Games",Campbell,,no
Bacchylides,100,Delphi,30,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 4 Title,ΤΩΙ ΑΥΤΩΙ <ΙΠΠΟΙΣ> ΠΥΘΙΑ,"For the Same Victor [Hieron] Chariot Race, Pythian Games",Campbell,,no
Bacchylides,100,Thessaly,34,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 14 Title,ΚΛΕΟΠΤΟΛΕΜΩΙ <b>ΘΕΣΣΑΛΩΙ</b> ΙΠΠΟΙΣ ΠΕΤΡΑΙΑ,"For Cleoptolemus <b>of Thessaly</b> Chariot-Race, Petraean Games",Campbell,,no
Bacchylides,100,Ceos,46,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 1 Title,<ΑΡΓΕΙΩΙ ΚΕΙΩΙ> <ΠΑΙΔΙ ΠΥΚΤΗΙ (?) ΙΣΘΜΙΑ>,"For Argeius of Ceos Boy Boxer, Isthmian Games",Campbell,,no
Bacchylides,100,Ioulis (Ceos),46,born,1,1,,,Strabo,,Str. 10.5.6,ἐκ δὲ τῆς Ἰουλίδος ὅ τε Σιμωνίδης ἦν ὁ μελοποιὸς καὶ Βακχυλίδης ἀδελφιδοῦς ἐκείνου,From Iulis came Simonides the lyric poet and Bacchylides his nephew,Campbell,,yes
Bacchylides,100,Phleious,55,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 9 Title,ΑΥΤΟΜΗΔΕΙ ΦΛΕΙΑΣΙΩΙ ΠΕΝΤΑΘΛΩΙ ΝΕΜΕΑ,"For Automedes Of Phlius Pentathlon, Nemean Games",Campbell,,no
Bacchylides,100,Olympia,87,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 3 Title,ΙΕΡΩΝΙ ΣΥΡΑΚΟΣΙΩΙ ΙΠΠΟΙΣ [ΟΛΥ]MΠΙΑ,"For Hiero of Syracuse Chariot Race, Olympic Games",Campbell,,no
Bacchylides,100,Metapontion,88,,3,3,dotted,,Bacchylides inscription,,Bacchyl. 11 Title,ΑΛΕΞΙΑΔΑΜΩΙ ΜΕΤΑΠΟΝΤΙΝΩΙ ΠΑΙΔΙ ΠΑΛΑΙΣΤΗΙ ΠΥΘΙΑ,"For Alexidamus of Metapontion Boys' Wrestling, Pythian Games",Campbell,,no
